row,action,item,room,cabinet,bin,quantity,is_consumable,warnings,errors,created_id
2,create,Streamers (Red),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,3.0,True,,,
3,create,Streamers (Yellow),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,3.0,True,,,
4,create,Streamers (Blue),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,4.0,True,,,
5,create,Streamers (Green),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,4.0,True,,,
6,create,Streamers (Orange),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.5,True,,,
7,create,Streamers (Purple),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.0,True,,,
8,create,Streamers (White),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.0,True,,,
9,create,Streamers (Black),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.0,True,,,
10,create,Balloons (Brown),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,10.0,True,,,
11,create,Balloons (White),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.0,True,,,
12,create,Balloons (Yellow),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.0,True,,,
13,create,Balloons (Blue),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.0,True,,,
14,create,Balloons (Black),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.0,True,,,
15,create,Balloons (Red),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,2.0,True,,,
16,create,Balloons (Misc.),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.0,True,,,
17,create,Yarn (Red),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,2.0,True,,,
18,create,Yarn (Yellow),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,2.0,True,,,
19,create,Yarn (Green),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.0,True,,,
20,create,Yarn (Orange),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.0,True,,,
21,create,Yarn (Multi-Color),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.0,True,,,
22,create,Gift Paper (Pink,Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,1.0,True,,,
23,create,Animal Plates,Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,34.0,True,,,
24,create,Pom Poms (White),Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,5.0,True,,,
25,create,Treasure Chests,Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,3.0,False,,,
26,create,Rope,Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,10.0,True,,,
27,create,Chinese Banner,Group 1 Tijori,Bottom Shelf,Bottom Shelf Tote,3.0,False,,,
28,create,Fishing Line,Group 2 Tijori,Group 2 Tijori,Extra Supplies,3.0,True,,,
29,create,Bulletin Borders (Film),Group 2 Tijori,Group 2 Tijori,Extra Supplies,1.0,True,,,
30,create,Bulletin Borders (BW),Group 2 Tijori,Group 2 Tijori,Extra Supplies,1.0,True,,,
31,create,Bulletin Borders (Green),Group 2 Tijori,Group 2 Tijori,Extra Supplies,1.0,True,,,
32,create,Bulletin Borders (Stars),Group 2 Tijori,Group 2 Tijori,Extra Supplies,1.0,True,,,
33,create,Blindfolds,Group 2 Tijori,Group 2 Tijori,Extra Supplies,5.0,False,,,
34,create,Glowsticks,Group 2 Tijori,Group 2 Tijori,Extra Supplies,1.0,True,,,
35,create,Thick Spaghetti,Group 2 Tijori,Group 2 Tijori,Extra Supplies,1.0,True,,,
36,create,Sticky Tabs,Group 2 Tijori,Group 2 Tijori,Extra Supplies,2.0,True,,,
37,create,Clay (Multi-Color),Group 2 Tijori,Group 2 Tijori,Extra Supplies,1.0,False,Consumable value '' is blank/unrecognised; defaulting to False. A [consumable: unknown] note will be added to the item.,,
38,create,Rulers,Group 2 Tijori,Group 2 Tijori,Extra Supplies,2.0,False,,,
39,create,Rainbow Scratch Notes,Group 2 Tijori,Group 2 Tijori,Extra Supplies,1.0,True,,,
40,create,Name Badges,Group 2 Tijori,Group 2 Tijori,Extra Supplies,5.0,True,,,
41,create,Sticker Labels,Group 2 Tijori,Group 2 Tijori,Extra Supplies,1.0,True,,,
42,create,Marker Refills,Group 2 Tijori,Group 2 Tijori,Extra Supplies,12.0,True,,,
43,create,LED Remotes,Group 2 Tijori,Group 2 Tijori,Extra Supplies,3.0,False,,,
44,create,AA Batteries,Group 2 Tijori,Group 2 Tijori,Extra Supplies,6.0,True,,,
45,create,AAA Batteries,Group 2 Tijori,Group 2 Tijori,Extra Supplies,7.0,True,,,
46,create,Graduation Bags,Group 2 Tijori,Group 2 Tijori,Extra Supplies,1.0,True,,,
47,create,Microfiber Towel,Group 2 Tijori,Group 2 Tijori,Extra Supplies,1.0,False,,,
48,create,Push Pins,Group 2 Tijori,Group 2 Tijori,Pin Bin,4.0,True,,,
49,create,Clothes Pins,Group 2 Tijori,Group 2 Tijori,Pin Bin,1.0,True,,,
50,create,Rubber Bands,Group 2 Tijori,Group 2 Tijori,Pin Bin,2.0,True,,,
51,create,Command Hooks,Group 2 Tijori,Group 2 Tijori,Pin Bin,3.0,True,,,
52,create,Wire Clip,Group 2 Tijori,Group 2 Tijori,Pin Bin,1.0,True,,,
53,create,Steel Hook,Group 2 Tijori,Group 2 Tijori,Pin Bin,1.0,True,,,
54,create,Binder Clips,Group 2 Tijori,Group 2 Tijori,Pin Bin,5.0,True,,,
55,skip,,,,,,,Empty item name — row skipped,,
56,skip,,,,,,,Empty item name — row skipped,,
57,skip,,,,,,,Empty item name — row skipped,,
58,skip,,,,,,,Empty item name — row skipped,,
59,skip,,,,,,,Empty item name — row skipped,,
60,skip,,,,,,,Empty item name — row skipped,,
61,skip,,,,,,,Empty item name — row skipped,,
62,skip,,,,,,,Empty item name — row skipped,,
63,skip,,,,,,,Empty item name — row skipped,,
64,skip,,,,,,,Empty item name — row skipped,,
65,skip,,,,,,,Empty item name — row skipped,,
66,skip,,,,,,,Empty item name — row skipped,,
